label,size,mean,std,min,max
numpy_matrix_multiplication,500,0.0051348209381103516,0.002900431514962484,0.0030388832092285156,0.010912179946899414
numpy_matrix_multiplication,1000,0.0175978422164917,0.0009157976360603934,0.016576051712036133,0.019357919692993164
numpy_matrix_multiplication,2000,0.09747066497802734,0.004568494509192606,0.09187197685241699,0.10872507095336914
numpy_matrix_multiplication,5000,1.0907100439071655,0.0320843882761943,1.062776803970337,1.162734031677246
numpy_matrix_multiplication,10000,7.481774115562439,0.1147923529004967,7.3053669929504395,7.664786100387573
numpy_matrix_inversion,500,0.005347204208374023,0.000164591719982954,0.005122184753417969,0.005593776702880859
numpy_matrix_inversion,1000,0.02331676483154297,0.0002539630228082348,0.022865772247314453,0.023725032806396484
numpy_matrix_inversion,2000,0.12191250324249267,0.003943842524672996,0.11626410484313965,0.12737512588500977
numpy_matrix_inversion,5000,1.4363849639892579,0.011418065876560097,1.417651891708374,1.455470085144043
numpy_matrix_inversion,10000,10.23282344341278,0.043467155335710245,10.138944149017334,10.286102056503296
scipy_pairwise_euclidean_distance,500,0.055536842346191405,0.0002167812641207664,0.05535387992858887,0.05613207817077637
scipy_pairwise_euclidean_distance,1000,0.21523799896240234,0.0006528833509328839,0.2147998809814453,0.2170429229736328
scipy_pairwise_euclidean_distance,2000,0.8853296995162964,0.0026635726683706274,0.8776781558990479,0.8878798484802246
scipy_pairwise_euclidean_distance,5000,5.9946476221084595,0.01116915313197773,5.979318141937256,6.016072988510132
scipy_pairwise_euclidean_distance,8000,15.641560339927674,0.012709122449789348,15.618693113327026,15.660780668258667
numpy_linear_fit,30000,0.0014288902282714843,0.00020721092444249346,0.0012400150299072266,0.001898050308227539
numpy_linear_fit,70000,0.0025460481643676757,0.0001532827681913894,0.0022592544555664062,0.002807140350341797
numpy_linear_fit,150000,0.004613423347473144,0.00029312988754957896,0.004215240478515625,0.005319118499755859
numpy_linear_fit,300000,0.008813929557800294,0.00024387402921741423,0.00842905044555664,0.009224891662597656
multiprocessing_fibonacci,100,0.15354256629943847,0.06409939105369283,0.1307210922241211,0.3458251953125
multiprocessing_fibonacci,200,0.24916069507598876,0.0010259360733597199,0.2467949390411377,0.25040507316589355
multiprocessing_fibonacci,300,0.366631293296814,0.000802583243001761,0.3653371334075928,0.36821508407592773
multiprocessing_fibonacci,500,0.600278377532959,0.0020470457589546504,0.5960497856140137,0.6038830280303955
multiprocessing_fibonacci,1500,1.7748089551925659,0.006915770910311845,1.7681288719177246,1.7929489612579346
